,,,,,,BATTING STATS,,,,,,,,,BOWLING STATS,,,,,,,,,,
S.NO,Name,Type,Bowling Style,Country,matches played,Runs,Hs,avg,ball faced,str  rate,100,50,4s,6s,Runs conceded,Balls,Maidens,Wickets,Avg,Economy,Str rate,Best ,4w,5w,Base price
1,Hardik Pandya,Batting Allrounder,Pace,India,161,2921,91,27.82,2005,145.69,0,10,225,153,2751,1764,0,82,33.55,9.36,21.51,5-36',-,1,2cr
2,Irfan Pathan,Bowling Allrounder,Pace,India,103,1139,60,21.49,946,120.41,0,1,87,37,2649,2043,10,80,33.11,7.78,25.54,3-24',0,0,1cr
3,Yusuf Pathan,Batting Allrounder,Spin,India,174,2241,100,29.13,2241,142.98,1,13,262,158,1415,1147,1,42,33.69,7.4,27.31,3-20',0,0,1cr
4,Nitish Kumar Reddy,Batting Allrounder,Pace,India,40,720,76,27.69,509,141.46,0,3,46,41,555,307,0,12,46.25,10.85,25.58,2-17',0,0,1.5cr
5,Venkatesh Iyer,Batting Allrounder,Pace,India,65,1582,104,31.64,1139,138.9,1,13,146,71,143,81,0,3,47.67,10.59,27,2-29',0,0,1.5cr
6,Shivam Dube,Batting Allrounder,Pace,India,91,2082,95,31.07,1447,143.89,0,10,128,133,262,148,0,6,43.67,10.62,24.67,2-15',0,0,2cr
7,Ravindra Jadeja,Bowling Allrounder,Spin,India,265,3450,77,28.51,2645,130.44,0,5,255,121,5392,4212,2,178,30.29,7.68,23.66,5-16',3,1,2cr
8,Ravichandran Ashwin,Bowling Allrounder,Spin,India,220,833,50,13.02,705,118.16,0,1,64,29,5652,4710,4,187,30.22,7.2,25.19,4-34',1,0,2cr
9,Krunal Pandya,Bowling Allrounder,Spin,India,155,1889,86,22.49,1414,133.6,0,3,161,74,3347,2644,1,103,32.5,7.6,25.67,4-45',1,0,1.5cr
10,Axar Patel,Bowling Allrounder,Spin,India,175,2050,66,21.35,1537,133.38,0,4,143,98,4368,3543,2,138,31.65,7.4,25.67,4-21',1,0,2cr
11,Washington Sundar,Bowling Allrounder,Spin,India,80,807,55,20.69,599,134.72,0,2,74,26,1497,1162,1,40,37.42,77.73,29.05,3-16',0,0,1cr
12,Harbhajan Singh,Bowling Allrounder,Spin,India,163,833,64,15.15,604,137.92,0,1,79,42,4030,3416,6,150,26.87,7.08,22.77,5-18',1,1,1cr
13,Piyush Chawla,Bowling Allrounder,Spin,India,192,624,24,11.14,563,110.84,0,0,20,16,5108,3850,2,192,26.6,7.96,20.05,4-17',2,0,1cr
14,Shahbaz Ahmed,Bowling Allrounder,Spin,India,63,603,59,20.79,489,123.32,0,1,33,28,1069,655,0,27,39.59,9.79,24.26,3-7',0,0,1cr
15,Krishnappa Gowtham,Bowling Allrounder,Spin,India,36,247,33,13.72,148,166.9,0,0,15,17,808,588,1,21,38.48,8.24,28,2-12',0,0,1cr
16,,,,,,,,,,,,,,,,,,,,,,,,,
17,Andre Russell,Batting Allrounder,Pace,West Indies,139,2651,88,28.2,1522,174.18,0,12,186,223,2863,1806,0,123,23.28,9.51,14.68,5-15',2,1,2cr
18,Shane Watson,Batting Allrounder,Pace,Australia,145,3874,117,137.92,2809,137.92,4,21,376,190,2682,2029,3,92,29.15,7.93,22.05,4-29',1,0,2cr
19,Dwayne Bravo,Bowling Allrounder,Pace,West Indies,161,1560,70,22.61,1204,129.57,0,5,121,66,4360,3119,3,183,23.83,8.39,17.04,4-22',2,0,2cr
20,Chris Morris,Bowling Allrounder,Pace,South Africa,81,618,82,22.07,398,155.28,0,2,41,35,2295,1720,1,95,24.16,8.01,18.11,4-23',4,0,1.5cr
