S.NO,name,Country,mat no,runs,balls faced,high score,average,str rate,4s,6s,50,100,Wicket keeper or not,Base price
1,MS Dhoni,India,278,5439,3957,84,38.3,137.46,375,264,24,0,yes,2cr
2,Dinesh Karthik,India,257,4842,3577,97,26.32,135.37,466,161,22,0,yes,2cr
3,Rinku Singh,India,71,1394,954,83,34.85,146.13,114,67,6,0,no,2cr
4,Jitesh Sharma,India,68,1081,707,85,22.52,152.9,84,67,1,0,yes,1.5cr
5,Rahul Tewatia,India,121,1210,886,53,22.83,136.57,99,57,1,0,no,1cr
6,Abdul Samad,India,70,820,556,45,18.64,147.49,52,52,0,0,no,1cr
7,Shashank Singh,India,52,905,560,68,36.2,161.61,67,51,6,0,no,1cr
8,Ayush Badoni,India,65,1135,818,74,25.22,138.76,91,44,7,0,no,1cr
9,Kedar Jadhav,India,95,1208,981,69,22.37,123.14,102,40,4,0,no,1cr
10,Shahrukh Khan,India,64,775,524,58,20.39,147.91,49,52,2,0,no,1cr
11,David Miller,South Africa,151,3260,2338,101,35.82,139.44,235,149,14,1,no,2cr
12,Tim David,Australia,63,1108,621,70,33.58,178.43,72,81,2,0,no,2cr
13,Corey Anderson,New Zealand,30,538,423,95,24.45,127.19,40,31,3,0,no,1.5cr
14,Rovman Powell,West Indies,38,526,369,67,21.92,142.55,35,37,1,0,no,1.5cr
15,Dasun Shanaka,Sri Lanka,7,52,45,17,13,115.56,4,2,0,0,no,1.5 cr
16,Matthew Wade,Australia,15,183,177,35,13.07,103.39,23,2,0,0,yes,1cr
17,Carlos Brathwaite,West Indies,16,181,111,43,13.92,163.07,10,16,0,0,no,1cr
18,Donovan Ferreira,South Africa,15,258,156,69,25.8,165.39,22,17,2,0,yes,1cr
19,Shubham Dubey,India,19,215,137,34,23.89,156.94,17,13,0,0,no,1cr
20,Dhruv Jurel,India,54,1100,722,81,31.43,152.36,89,57,9,0,yes,1.5cr
21,Ramandeep Singh,India,38,299,205,35,18.69,145.86,17,19,0,0,no,1cr
