name,Country,mat played,Runs,Hs,avg,ball faced,str  rate,100,50,4s,6s,Wicket keeper or not
Suresh Raina,India,205,5528,100,32.52,4042,136.76,1,39,506,203,no
Surya Kumar Yadav,India,178,4521,103,33.74,3041,148.67,2,30,479,174,no
Shaun Marsh,Australia,71,2477,115,39.95,1866,132.74,1,20,266,78,no
Tilak  varma,India,67,1855,101,36.37,1277,145.26,1,10,143,91,no
Nicholas pooran,West Indies,103,2525,87,31.96,1533,164.71,0,15,169,186,yes
Ambati Raydu,India,175,3916,100,29.44,3072,127.47,1,21,324,149,yes
Manish Pandey,India,179,3987,114,29.53,3277,121.67,1,22,346,115,no
yuvaraj singh,India,132,2750,83,24.77,2120,129.72,0,13,217,149,no
Shreyas Iyer,India,146,4128,97,34.98,3042,135.7,0,32,342,177,no
Rishabh Pant,India,138,3839,128,33.68,2611,147.03,2,20,346,181,yes
Hashim Amla,South africa,16,577,104,44.3,407,141.77,2,3,60,21,no
Eoin Morgan,England,83,1505,68,22.66,1146,122.6,0,5,112,64,no
AB de Villiers,South africa,184,5162,133,39.71,3403,151.69,3,40,413,251,yes
Parthiv Patel,India,139,2848,81,22.6,2358,120.78,0,13,365,49,yes
Nithish Rana,India,127,3078,91,27.73,2235,137.72,0,22,288,151,no
Rajat Patidar,India,54,1448,112,31.48,895,161.79,1,12,94,99,no
Rahul tripati,India,100,2291,93,26.33,1662,137.85,0,12,229,85,no
Mandeep Singh,India,105,1674,77,22.03,1338,125.11,0,6,171,37,no
Shimron Hetmyer,West Indies,94,1560,75,27.37,1045,149.28,0,5,98,94,no
Riygan Parag,India,95,1824,95,26.06,1274,143.17,0,9,130,104,no
Karun Nair,India,86,1712,89,23.45,1304,131.29,0,11,188,49,no
Deepak Hooda,India,125,1496,64,17.6,1172,127.65,0,8,98,62,no
Sarfraz Khan,India,60,746,67,21.31,547,136.38,0,2,86,20,no
Heinrich  Klaasen,South africa,62,2035,105,42.4,1228,165.72,2,12,142,114,yes
Tillakaratne Dilshan,Srilanka,38,735,76,22.27,666,110.36,0,5,98,11,no
Saurabh Tiwary,India,93,1494,61,28.73,1244,120.1,0,8,111,50,no
Subramaniam Badrinath,India,95,1441,71,30.66,1212,118.89,0,11,154,28,no
