name,Country,mat no,runs,Hs,avg,ball faced,str  rate,100,50,4s,6s,Wicket keeper or not,Base price
David Warner,Australia,184,6565,126,40.52,4697,139.77,4,62,663,236,no,2cr
Faf Du Plessis,South Africa,154,4773,96,35.1,3515,135.79,0,39,439,174,no,2cr
Cris Gayle,West Indies,142,4965,175,39.72,3333,148.96,6,31,405,357,no,2cr
Virat kohli,India,280,9203,113,40.19,6848,134.39,9,67,828,312,no,2cr
K L Rahul,India,163,5775,152,45.47,4165,138.66,6,44,507,235,yes,2cr
Rohit Sharma,India,280,7329,109,30.04,5510,133.01,2,49,661,323,no,2cr
Jos buttler,England,134,4532,124,39.41,3033,149.82,7,27,448,205,yes,2cr
Steve smith,Australia,103,2485,101,34.51,1940,128.09,1,11,225,60,no,1.5cr
Quinton de Kock,South Africa,118,3441,140,31.28,2550,134.94,3,24,334,143,yes,1cr
Shikhar Dhawan,India,222,6769,106,35.26,5324,127.14,2,51,768,152,no,2cr
Brendon mccullum,Newsland,109,2880,158,27.69,2186,131.75,2,13,293,130,yes,2cr
Gautam gambhir,India,154,4217,93,31.24,3404,123.88,0,36,491,59,no,1.5cr
Shubman gill,India,130,4418,129,40.16,3131,141.11,4,31,422,146,no,2cr
Kane  Willamson,Newsland,79,2128,89,35.47,1694,125.62,0,18,186,64,no,1cr
Sanju Samson,India,190,5181,119,31.98,3670,141.17,5,27,432,243,yes,2cr
Yashasvi Jaiswal,India,80,2536,124,34.27,1649,153.79,2,18,305,107,no,2cr
Dwayne Smith,West Indies,91,2385,87,28.39,1764,135.2,0,17,245,117,no,1cr
Chris lynn,Australia,42,1329,93,34.08,945,140.63,0,10,132,66,no,1cr
Ruturaj Gaikwad,India,84,2823,108,38.67,2086,135.33,2,22,259,105,no,2cr
Devdutt padikkal,India,87,2218,101,27.05,1668,132.97,1,14,232,79,no,1.5cr
Virender Sehwag,India,104,2728,122,27.56,1755,155.44,2,16,334,106,no,1.5cr
Travis Head,Australia,51,1513,102,32.89,891,169.81,1,10,165,77,no,2cr
Ishan kishan,India,132,3488,106,30.07,2451,142.31,1,22,337,160,yes,2cr
Murali Vijay,India,106,2619,127,25.93,2149,121.87,2,13,247,91,no,1cr
Jonny Bairstow,England,52,1674,114,34.88,1146,146.7,2,9,173,74,yes,1.5cr
Robin Uthappa,India,205,4952,88,27.51,3799,130.35,0,27,481,182,no,2cr
Prithvi Shaw,India,79,1892,99,23.95,1283,147.47,0,14,238,61,no,1cr
Ajinkya Rahane,India,211,5304,105,29.97,4234,125.27,2,34,535,137,no,1cr
Michael Hussey,Australia,59,1977,116,38.76,1612,122.64,1,15,198,52,no,1.5cr
Mitchell Marsh,Australia,68,1855,117,30.92,1249,148.52,2,12,155,111,no,2cr
Sai Sudharsan,India,53,2347,108,48.9,1580,148.54,3,18,238,77,no,1.5cr
Aaron Finch,Australia,92,2091,88,25.19,1631,128.2,0,15,214,78,no,1cr
Aiden Markram,South Africa,69,1671,68,30.38,1233,135.52,0,10,131,68,no,1.5cr
Phil Salt,England,40,1258,89,34,721,174.48,0,12,138,67,yes,1.5cr
Devon conway,Newsland,29,1080,92,43.2,773,139.72,0,11,116,34,no,1cr
Abishek Sharma,India,90,2323,141,29.41,1365,170.18,2,12,220,139,no,2cr
Adam gilchrist ,Australia,80,2069,109,27.22,1495,138.39,2,11,239,92,yes,1.5cr
Evin Lewis ,West Indies,27,654,65,27.25,477,137.11,0,4,62,36,no,1cr
Jason Roy,England,13,329,91,29.91,255,129.02,0,2,39,9,no,1cr
